Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,HDFCBANK,1859.25,1862.5,1875.0,1829.25,1871.75,1858.29,9504501,218405.0,4985509,52.45
2024-12-12,HDFCBANK,1863.1,1851.0,1868.65,1848.7,1859.25,1858.38,8646895,201479.0,4630670,53.55
2024-12-11,HDFCBANK,1868.1,1861.7,1871.9,1856.75,1863.1,1864.0,7022713,233801.0,4031962,57.41
2024-12-10,HDFCBANK,1870.0,1877.7,1877.7,1858.55,1868.1,1867.3,6662740,231195.0,4095005,61.46
2024-12-09,HDFCBANK,1855.85,1853.65,1880.0,1849.0,1870.0,1871.09,13473956,234236.0,10115077,75.07
2024-12-06,HDFCBANK,1865.75,1857.0,1864.2,1844.0,1855.85,1856.73,8891578,306905.0,5545799,62.37
2024-12-05,HDFCBANK,1860.1,1860.0,1879.95,1835.2,1865.75,1862.43,19841357,436462.0,11728370,59.11
2024-12-04,HDFCBANK,1826.3,1838.0,1865.0,1831.15,1860.1,1854.85,22334542,436235.0,15776554,70.64
2024-12-03,HDFCBANK,1804.7,1822.7,1837.4,1816.1,1826.3,1827.25,21705121,304635.0,15804923,72.82
2024-12-02,HDFCBANK,1796.05,1803.5,1808.15,1775.0,1804.7,1791.81,7555438,219254.0,4945801,65.46
2024-11-29,HDFCBANK,1793.15,1801.3,1804.6,1782.9,1796.05,1793.91,13834768,377555.0,9143382,66.09
2024-11-28,HDFCBANK,1812.3,1819.0,1836.1,1788.0,1793.15,1808.45,17861196,379898.0,10098151,56.54
2024-11-27,HDFCBANK,1785.55,1789.9,1817.35,1785.15,1812.3,1801.57,16357488,330771.0,8740131,53.43
2024-11-26,HDFCBANK,1785.6,1810.0,1810.0,1769.8,1785.55,1784.75,15467783,261322.0,9010084,58.25
2024-11-25,HDFCBANK,1745.6,1785.05,1803.55,1764.9,1785.6,1784.46,213868637,600228.0,174212666,81.46
2024-11-22,HDFCBANK,1741.2,1743.55,1754.3,1729.55,1745.6,1743.57,12386806,260956.0,8137880,65.7
2024-11-21,HDFCBANK,1742.25,1749.4,1759.0,1734.2,1741.2,1743.63,17858256,368837.0,11902796,66.65
2024-11-19,HDFCBANK,1705.1,1714.0,1753.75,1702.7,1742.25,1739.1,25490636,458303.0,19018449,74.61
2024-11-18,HDFCBANK,1692.75,1700.0,1718.9,1695.0,1705.1,1707.94,13540984,291631.0,9562272,70.62
2024-11-14,HDFCBANK,1681.35,1673.1,1704.85,1672.1,1692.75,1692.96,13573235,331159.0,7307878,53.84
2024-11-13,HDFCBANK,1718.2,1716.75,1729.4,1673.0,1681.35,1699.7,17864250,384592.0,9878595,55.3
2024-11-12,HDFCBANK,1766.3,1772.0,1775.0,1708.65,1718.2,1731.71,15697703,410691.0,7410508,47.21
2024-11-11,HDFCBANK,1754.45,1754.55,1782.8,1751.2,1766.3,1768.85,12282681,366875.0,7456943,60.71
2024-11-08,HDFCBANK,1746.55,1752.0,1761.8,1745.85,1754.45,1754.62,9951493,253333.0,6688588,67.21
2024-11-07,HDFCBANK,1755.25,1744.3,1760.95,1738.0,1746.55,1746.6,9447728,315964.0,5681231,60.13
2024-11-06,HDFCBANK,1757.85,1771.5,1771.5,1745.35,1755.25,1753.58,13893955,249677.0,8170849,58.81
2024-11-05,HDFCBANK,1714.1,1703.0,1762.7,1697.9,1757.85,1736.4,22116203,362395.0,12508130,56.56
2024-11-04,HDFCBANK,1737.3,1745.0,1745.0,1710.9,1714.1,1723.47,14044624,342162.0,9628154,68.55
2024-11-01,HDFCBANK,1735.7,1733.0,1744.1,1726.1,1737.3,1738.79,879846,69860.0,311374,35.39
2024-10-31,HDFCBANK,1734.6,1728.0,1738.9,1719.4,1735.7,1731.49,11447956,277300.0,8152758,71.22
2024-10-30,HDFCBANK,1751.85,1742.0,1754.75,1724.2,1734.6,1736.38,16357862,350916.0,9806297,59.95
2024-10-29,HDFCBANK,1734.2,1726.15,1764.0,1725.1,1751.85,1744.14,17897463,381375.0,10658618,59.55
2024-10-28,HDFCBANK,1743.4,1742.0,1751.0,1728.9,1734.2,1738.17,11006071,334425.0,6998364,63.59
2024-10-25,HDFCBANK,1749.65,1755.0,1757.85,1728.7,1743.4,1740.64,13065239,337950.0,7865650,60.2
2024-10-24,HDFCBANK,1735.8,1738.1,1768.65,1738.1,1749.65,1755.99,15416129,342755.0,10527020,68.29
2024-10-23,HDFCBANK,1714.55,1705.05,1746.5,1705.05,1735.8,1736.32,19018045,386048.0,12309362,64.72
2024-10-22,HDFCBANK,1728.7,1730.05,1740.0,1710.7,1714.55,1721.78,19437640,411821.0,10390546,53.46
2024-10-21,HDFCBANK,1681.85,1715.0,1748.15,1711.05,1728.7,1732.82,23274177,574448.0,12767823,54.86
2024-10-18,HDFCBANK,1673.15,1663.1,1691.0,1654.1,1681.85,1674.9,12404862,232916.0,8255525,66.55
2024-10-17,HDFCBANK,1699.8,1694.95,1697.65,1665.2,1673.15,1676.22,7347866,199044.0,4717214,64.2
2024-10-16,HDFCBANK,1684.1,1680.1,1707.95,1680.1,1699.8,1698.75,10235341,244836.0,6262690,61.19
2024-10-15,HDFCBANK,1688.1,1694.0,1698.0,1675.5,1684.1,1684.09,9825565,195771.0,5937555,60.43
2024-10-14,HDFCBANK,1651.0,1656.05,1692.05,1654.0,1688.1,1682.72,9263754,261742.0,6120592,66.07
2024-10-11,HDFCBANK,1662.4,1664.45,1664.45,1643.25,1651.0,1651.51,11836297,186378.0,8529644,72.06
2024-10-10,HDFCBANK,1633.15,1639.0,1665.45,1632.5,1662.4,1649.38,10877383,244906.0,5165604,47.49
2024-10-09,HDFCBANK,1651.05,1649.5,1656.75,1628.7,1633.15,1640.12,20562821,442682.0,9564097,46.51
2024-10-08,HDFCBANK,1617.8,1630.0,1656.8,1622.0,1651.05,1645.56,14867203,357296.0,9503807,63.92
2024-10-07,HDFCBANK,1657.65,1652.2,1659.0,1613.0,1617.8,1631.55,47229148,535347.0,28014374,59.32
2024-10-04,HDFCBANK,1682.0,1674.5,1690.65,1653.0,1657.65,1673.77,24341616,419392.0,13673903,56.18
2024-10-03,HDFCBANK,1726.2,1715.65,1726.15,1673.35,1682.0,1694.79,24236699,520129.0,17610464,72.66
2024-10-01,HDFCBANK,1732.05,1724.0,1742.0,1720.1,1726.2,1725.83,12286142,237679.0,6953201,56.59
2024-09-30,HDFCBANK,1752.65,1748.8,1751.45,1724.4,1732.05,1734.57,13191767,343613.0,9541132,72.33
2024-09-27,HDFCBANK,1783.45,1777.0,1778.2,1750.0,1752.65,1759.73,17806751,339917.0,13002178,73.02
2024-09-26,HDFCBANK,1779.1,1773.05,1788.0,1768.05,1783.45,1778.51,15949822,343553.0,10985707,68.88
2024-09-25,HDFCBANK,1768.05,1760.15,1788.0,1760.15,1779.1,1778.97,15982656,498237.0,9863354,61.71
2024-09-24,HDFCBANK,1759.8,1765.0,1781.65,1754.25,1768.05,1768.8,16519518,404809.0,9425560,57.06
2024-09-23,HDFCBANK,1741.2,1749.0,1766.35,1740.25,1759.8,1756.93,13482675,449232.0,8794661,65.23
2024-09-20,HDFCBANK,1708.5,1716.5,1744.95,1707.55,1741.2,1734.6,30311693,519608.0,17465531,57.62
2024-09-19,HDFCBANK,1694.8,1699.2,1719.0,1699.15,1708.5,1710.95,15325888,347649.0,9714192,63.38
2024-09-18,HDFCBANK,1668.8,1671.85,1698.9,1671.1,1694.8,1691.3,20458671,447311.0,12237216,59.81
2024-09-17,HDFCBANK,1670.95,1678.0,1678.0,1664.15,1668.8,1668.9,10063561,273207.0,5693003,56.57
2024-09-16,HDFCBANK,1665.95,1667.0,1677.8,1664.05,1670.95,1670.83,7586410,214575.0,5258278,69.31
