Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-01-04,APLLTD,808.0,810.0,848.55,802.2,830.05,1691200,2022-01-27,1477317.0,41954.0,406485.0,,27.52,3.79,,,73.14,-6.18,841.25,30.79999999999995,841.05,-0.20000000000004547,90300,90300,,LongBuildUp,39.05,7.3,5.74,,,,,,,39.05,39.05,7.3,7.3,406485.0,406485.0,1477317.0,1477317.0,1691200.0,1691200.0,35.21,35.21
2022-01-05,APLLTD,841.25,841.0,844.0,813.05,829.38,1807400,2022-01-27,548471.0,25337.0,137706.0,-66.12,25.11,0.51,12.0,26.0,70.29,-2.85,816.55,-23.649999999999977,817.4,0.8500000000000227,116200,206500,84.0,ShortBuildUp,14.35,32.0,3.68,-24.700000000000045,-0.02980073343618539,,,,,26.08,26.45,20.27,19.9,265376.03,269407.71,989672.85,1003605.54,1752205.0,1750462.0,28.09,28.29
2022-01-06,APLLTD,816.55,810.0,828.25,798.35,818.24,1890000,2022-01-27,424105.0,22262.0,94227.0,-31.57,22.220000000000002,-0.02,38.0,49.0,66.9,-3.39,817.85,1.1499999999999773,818.55,0.6999999999999318,82600,289100,64.0,LongBuildUp,19.5,26.15,3.66,1.3000000000000682,0.0015907981817822048,,,,,23.67,24.04,22.43,22.07,202531.13,208663.14,781999.73,802661.55,1802802.5,1798847.33,24.77,25.09
2022-01-07,APLLTD,817.85,820.0,821.95,804.1,813.15,1934800,2022-01-27,302048.0,17208.0,75010.0,-20.39,24.83,-0.25,46.0,39.0,67.01,0.11,806.6,-10.0,808.55,1.9499999999999318,44800,333900,59.0,ShortBuildUp,8.25,21.65,2.18,-11.25,-0.013851063265266639,,,,,19.22,19.85,22.2,21.96,165717.75,173218.87,643445.08,669900.87,1840908.14,1834901.42,22.69,23.09
2022-01-10,APLLTD,806.6,814.65,828.45,808.25,819.96,1905400,2022-01-27,387633.0,17393.0,99525.0,32.68,25.680000000000003,0.05,80.0,67.0,67.93,0.92,823.65,16.950000000000045,825.5,1.8500000000000227,-29400,304500,19.0,ShortCovering,19.55,4.8,2.5,17.049999999999955,0.02091779995372356,,,,,19.3,19.79,17.99,18.24,149706.29,157277.9,581566.32,608842.56,1856508.17,1850151.21,22.59,22.92
2022-01-11,APLLTD,823.65,828.0,828.0,814.0,818.17,1869700,2022-01-27,409224.0,11489.0,92891.0,-6.67,28.93,-0.04,58.0,31.0,68.45,0.52,818.85,-6.25,819.25,0.39999999999997726,-35700,268800,80.0,LongUnwinding,10.6,9.6,1.7,-4.7999999999999545,-0.005844765497115212,,,,,17.46,18.1,16.22,16.66,137720.86,145445.62,545209.96,572158.97,1859291.04,1853743.66,25.34,25.25
2022-01-12,APLLTD,818.85,822.0,826.65,806.0,812.84,1852900,2022-01-27,306482.0,11460.0,204945.0,120.63,66.87,1.33,96.0,62.0,68.74,0.29,807.0,-9.0,810.25,3.25,-16800,252000,54.0,LongUnwinding,1.0,21.0,2.52,-11.850000000000023,-0.01457724862592702,,,,,14.35,15.35,17.13,17.35,150431.28,154998.79,500072.41,529502.1,1858082.65,1853608.2,25.6,25.49
2022-01-13,APLLTD,807.0,811.2,822.8,804.4,812.29,1929200,2022-01-27,418704.0,17547.0,192771.0,-5.94,46.04,1.18,59.0,96.0,68.35,-0.39,805.65,-0.9500000000000456,809.3,3.6499999999999773,76300,328300,5.0,ShortBuildUp,1.25,21.0,2.28,-1.3500000000000227,-0.001674263250371233,,,,,12.08,13.33,17.8,17.88,157749.91,160407.19,486007.47,513637.52,1870375.65,1864431.78,25.3,25.26
2022-01-14,APLLTD,805.65,808.0,812.0,801.2,805.74,1928500,2022-01-27,126683.0,8501.0,44234.0,-77.05,34.92,-0.63,10.0,11.0,68.35,0.0,802.7,-4.099999999999909,805.2,2.5,-700,327600,43.0,LongUnwinding,1.5,20.1,1.34,-2.949999999999932,-0.0036683598820461683,,,,,10.39,11.8,18.17,18.16,139541.4,145339.54,428370.07,463449.57,1879699.08,1872741.42,23.63,23.91
2022-01-17,APLLTD,802.7,809.85,809.85,790.85,797.26,1858500,2022-01-27,214722.0,11469.0,80352.0,81.65,37.419999999999995,-0.19,91.0,90.0,68.84,0.49,799.0,-2.6000000000000227,802.6,3.6000000000000227,-70000,257600,116.0,LongUnwinding,8.15,13.0,2.37,-3.7000000000000455,-0.004620099371257069,,,,,10.05,11.37,17.39,17.55,130627.99,137610.06,396196.52,433866.44,1876506.68,1871047.58,22.9,23.3
2022-01-18,APLLTD,799.0,800.0,808.8,785.1,796.17,1821400,2022-01-27,129324.0,6022.0,43656.0,-45.67,33.76,-0.64,26.0,14.0,69.37,0.53,787.6,-13.100000000000026,789.5,1.8999999999999773,-37100,220500,58.0,LongUnwinding,2.5,22.25,2.97,-11.399999999999977,-0.014370599001304107,,,,,8.97,10.39,18.08,18.07,118217.71,127260.46,358115.73,400319.26,1868643.35,1865578.6,22.69,23.1
