Date,ZScore_Sum_W,ZScore_Sum_M
2017-09-24,1.08,
2017-10-01,1.36,
2017-10-08,-0.3400000000000001,
2017-10-15,-0.8899999999999999,
2017-10-22,-1.28,
2017-10-29,5.99,
2017-11-05,0.10999999999999988,
2017-11-12,-0.65,
2017-11-19,0.19,
2017-11-26,0.56,
2017-12-03,-1.0300000000000002,
2017-12-10,-0.30000000000000004,
2017-12-17,-0.32,
2017-12-24,-0.77,
2017-12-31,0.31000000000000005,-1.71
2018-01-07,-0.13999999999999996,
2018-01-14,2.05,
2018-01-21,3.33,
2018-01-28,2.51,
2018-02-04,1.21,
2018-02-11,0.1399999999999999,
2018-02-18,-0.14,
2018-02-25,1.9799999999999998,
2018-03-04,-2.7755575615628914e-17,
2018-03-11,-1.41,
2018-03-18,0.89,
2018-03-25,0.6000000000000001,
2018-04-01,0.36000000000000004,
2018-04-08,-1.13,
2018-04-15,2.42,
2018-04-22,3.02,
2018-04-29,1.47,
2018-05-06,-0.78,
2018-05-13,-2.6500000000000004,
2018-05-20,-0.8699999999999999,
2018-05-27,0.19999999999999996,
2018-06-03,-0.24,
2018-06-10,-2.05,
2018-06-17,0.7500000000000001,
2018-06-24,-1.1199999999999999,
2018-07-01,-0.77,
2018-07-08,-0.30999999999999994,
2018-07-15,0.30000000000000004,
2018-07-22,0.11000000000000001,
2018-07-29,-1.03,
2018-08-05,-1.19,
2018-08-12,-1.73,
2018-08-19,-0.9,
2018-08-26,-0.05000000000000002,
2018-09-02,-0.12,
2018-09-09,2.9000000000000004,
2018-09-16,1.1400000000000001,
2018-09-23,2.3499999999999996,
2018-09-30,6.01,12.4
2018-10-07,2.4699999999999998,
2018-10-14,3.0999999999999996,
2018-10-21,4.5600000000000005,
2018-10-28,3.63,
2018-11-04,4.37,
2018-11-11,1.6300000000000001,
2018-11-18,2.1799999999999997,
2018-11-25,2.48,
2018-12-02,9.86,
2018-12-09,2.4899999999999998,
2018-12-16,2.32,
2018-12-23,3.84,
2018-12-30,1.7400000000000002,
2019-01-06,0.16000000000000003,
2019-01-13,6.24,
2019-01-20,4.87,
2019-01-27,2.16,
2019-02-03,3.46,
2019-02-10,-0.41000000000000003,
2019-02-17,0.18,
2019-02-24,0.82,
2019-03-03,1.82,
2019-03-10,0.63,
2019-03-17,7.46,
2019-03-24,4.19,
2019-03-31,4.32,16.38
2019-04-07,2.75,
2019-04-14,1.41,
2019-04-21,8.82,
2019-04-28,2.6399999999999997,
