Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-01-04,MOTHERSUMI,224.85,225.65,227.7,223.7,225.62,25784500,2022-01-27,3960065.0,47536.0,1779219.0,,44.93,-0.72,,,72.32,0.81,224.8,0.44999999999998863,225.5,0.6999999999999886,-332500,-332500,,ShortCovering,1.1,2.9,1.78,,,,,,,1.1,1.1,2.9,2.9,1779219.0,1779219.0,3960065.0,3960065.0,25784500.0,25784500.0,83.31,83.31
2022-01-05,MOTHERSUMI,224.8,225.9,230.8,222.8,225.54,27009500,2022-01-27,7600477.0,68757.0,2530993.0,42.25,33.300000000000004,-0.48,68.0,79.0,69.9,-2.42,224.1,-1.0999999999999943,224.4,0.30000000000001137,1225000,892500,9.0,ShortBuildUp,1.3,6.7,3.56,-0.700000000000017,-0.00311873721265421,,,,,1.21,1.2,4.9,4.84,2173900.35,2162623.74,5871281.3,5816675.12,26427625.0,26409250.0,97.6,97.2
2022-01-06,MOTHERSUMI,224.1,223.0,234.0,221.0,229.67,25816000,2022-01-27,10329165.0,106855.0,3891755.0,53.76,37.68,-0.05,73.0,81.0,71.35,1.45,232.85,8.949999999999989,233.35,0.5,-1193500,-301000,16.0,ShortCovering,11.85,1.15,5.8,8.75,0.03830208862150464,,,,,5.11,4.89,3.52,3.56,2804686.28,2762206.52,7508189.47,7381397.98,26203039.97,26203538.33,97.26,97.01
2022-01-07,MOTHERSUMI,232.85,234.8,241.4,232.45,238.28,25144000,2022-01-27,14331273.0,153772.0,6210843.0,59.59,43.34000000000001,0.7,78.0,78.0,70.72,-0.63,238.9,4.800000000000012,238.15,-0.75,-672000,-973000,58.0,ShortCovering,17.9,2.5,3.84,6.050000000000011,0.025650584903377904,,,,,8.8,8.34,3.23,3.28,3787991.06,3676770.85,9477908.19,9224476.49,25897311.5,25922553.08,96.09,96.0
2022-01-10,MOTHERSUMI,238.9,241.0,245.65,238.9,241.64,24664500,2022-01-27,7950519.0,79506.0,3213870.0,-48.25,40.42,-0.26,17.0,8.0,70.07,-0.65,240.0,1.5999999999999943,239.75,-0.25,-479500,-1452500,66.0,ShortCovering,7.55,5.65,2.83,1.0999999999999943,0.004593869010227181,,,,,8.5,8.17,3.81,3.79,3649116.06,3576639.2,9108445.74,8948902.45,25599104.89,25650419.38,97.03,96.87
2022-01-11,MOTHERSUMI,240.0,241.0,252.7,239.65,246.33,20090000,2022-01-27,18650979.0,129969.0,8724048.0,171.45,55.71,1.5,93.0,83.0,69.93,-0.14,251.45,12.650000000000004,252.4,0.950000000000017,-4574500,-6027000,96.0,ShortCovering,12.55,1.25,5.44,11.449999999999989,0.04660523927598259,,,,,9.36,8.98,3.27,3.32,4719694.89,4522570.35,11121484.38,10731837.66,24436935.4,24628589.93,106.84,105.44
2022-01-12,MOTHERSUMI,251.45,253.95,253.95,242.1,247.45,16541000,2022-01-27,13108208.0,109425.0,6391473.0,-26.74,48.76,0.76,33.0,43.0,73.43,3.5,243.45,-8.150000000000006,244.25,0.8000000000000114,-3549000,-9576000,68.0,LongUnwinding,3.8,10.5,4.71,-8.0,-0.032332579989263976,,,,,8.31,8.15,4.64,4.48,5035786.75,4822639.77,11497124.64,11113385.66,22944009.46,23330053.36,109.29,107.74
2022-01-14,MOTHERSUMI,234.8,194.95,202.3,182.65,188.34,21255500,2022-01-27,44773438.0,391654.0,21121832.0,230.47,47.17,5.48,96.0,99.0,84.69,11.26,185.55,-49.1,186.1,0.549999999999983,7644000,-1932000,11.0,ShortBuildUp,2.9,68.4,8.37,-57.89999999999998,-0.2715871951221027,,,,,7.37,7.39,15.66,13.63,7816340.5,7156433.6,17249102.61,15932987.84,22652142.11,23033009.21,110.16,108.68
2022-01-17,MOTHERSUMI,185.55,189.75,192.75,188.5,190.27,23019500,2022-01-27,13939031.0,131281.0,4681733.0,-77.83,33.59,0.21,1.0,1.0,81.65,-3.04,189.55,3.6500000000000057,189.75,0.19999999999998863,1764000,-168000,51.0,LongBuildUp,6.9,12.75,2.29,4.0,0.021328454455736612,,,,,7.3,7.33,15.19,13.52,7313534.13,6835465.25,16718150.94,15674371.89,22711068.11,23031257.06,109.52,108.36
2022-01-18,MOTHERSUMI,189.55,191.35,191.35,182.5,185.84,24024000,2022-01-27,9253618.0,89351.0,4335101.0,-7.4,46.85,0.1,46.0,26.0,80.12,-1.53,183.6,-6.199999999999988,183.55,-0.04999999999998295,1004500,836500,59.0,ShortBuildUp,1.1,9.15,4.67,-5.950000000000017,-0.03189336377595353,,,,,6.36,6.59,14.28,13.0,6865007.91,6538077.24,15594056.96,14910701.07,22908784.28,23149331.8,108.62,107.79
