Date,ZScore_Sum_W,ZScore_Sum_M
2010-01-10,-1.6400000000000001,
2010-01-17,-1.4,
2010-01-24,-1.26,
2010-01-31,-1.17,-5.47
2010-02-07,-2.19,
2010-02-14,-1.77,
2010-02-21,-2.23,
2010-02-28,-2.2,-8.39
2010-03-07,-1.67,
2010-03-14,-1.12,
2010-03-21,-1.79,
2010-03-28,-1.52,
2010-04-04,-1.63,
2010-04-11,-1.54,
2010-04-18,-1.57,
2010-04-25,-1.8900000000000001,
2010-05-02,-2.1,
2010-05-09,-2.0300000000000002,
2010-05-16,-2.19,
2010-05-23,-2.27,
2010-05-30,-1.8900000000000001,
2010-06-06,-2.24,
2010-06-13,-2.16,
2010-06-20,-1.99,
2010-06-27,-1.96,
2010-07-04,-1.29,
2010-07-11,-0.79,
2010-07-18,-1.72,
2010-07-25,-1.05,
2010-08-01,-2.14,
2010-08-08,-2.02,
2010-08-15,-1.6500000000000001,
2010-08-22,-1.56,
2010-08-29,-1.02,
2010-09-05,-0.009999999999999981,
2010-09-12,-1.38,
2010-09-19,-1.8800000000000001,
2010-09-26,-2.11,
2010-10-03,-0.8900000000000001,
2010-10-10,0.31000000000000005,
2010-10-17,-0.24999999999999994,
2010-10-24,-1.75,
2010-10-31,-1.9,-3.2399999999999998
2010-11-07,-1.25,
2010-11-14,2.0100000000000002,
2010-11-21,-0.93,
2010-11-28,-1.62,
2010-12-05,-2.09,
2010-12-12,-2.03,
2010-12-19,-1.72,
2010-12-26,-2.26,
2011-01-02,-1.82,
2011-01-09,-1.82,
2011-01-16,-1.75,
2011-01-23,-1.98,
2011-01-30,-1.81,
2011-02-06,-1.8,
2011-02-13,-1.95,
2011-02-20,-2.0100000000000002,
2011-02-27,-2.3,
2011-03-06,-1.76,
2011-03-13,-1.56,
2011-03-20,-2.3,
2011-03-27,-1.8699999999999999,
2011-04-03,-2.04,
2011-04-10,-1.9100000000000001,
2011-04-17,-0.63,
2011-04-24,-1.8199999999999998,
2011-05-01,-2.08,
2011-05-08,-1.98,
2011-05-15,-2.23,
2011-05-22,-1.5699999999999998,
2011-05-29,-2.37,
2011-06-05,-1.92,
2011-06-12,-2.19,
2011-06-19,-1.73,
2011-06-26,-1.85,
2011-07-03,-2.21,
2011-07-10,-2.01,
2011-07-17,-2.26,
2011-07-24,-1.96,
2011-07-31,-2.12,-8.76
2011-08-07,-1.8900000000000001,
2011-08-14,-2.12,
2011-08-21,-1.79,
2011-08-28,-2.08,
2011-09-04,-1.23,
2011-09-11,-2.1,
2011-09-18,-1.94,
2011-09-25,-1.8399999999999999,
2011-10-02,-1.5699999999999998,
2011-10-09,-1.63,
2011-10-16,-2.3,
2011-10-23,-2.04,
2011-10-30,-1.87,
2011-11-06,-2.41,
2011-11-13,-1.42,
2011-11-20,-1.82,
2011-11-27,-2.14,
2011-12-04,-2.31,
2011-12-11,-1.74,
2011-12-18,-2.19,
2011-12-25,-2.13,
2012-01-01,-2.18,
2012-01-08,-1.3499999999999999,
2012-01-15,-0.8899999999999999,
2012-01-22,-1.06,
2012-01-29,-1.37,
2012-02-05,-1.4100000000000001,
2012-02-12,-1.53,
2012-02-19,-1.8599999999999999,
2012-02-26,-1.3599999999999999,
2012-03-04,-2.47,
2012-03-11,-1.8699999999999999,
2012-03-18,-1.71,
2012-03-25,-2.23,
2012-04-01,-2.23,
2012-04-08,-1.3900000000000001,
2012-04-15,-2.0,
2012-04-22,-1.92,
2012-04-29,-2.74,
2012-05-06,-1.44,
2012-05-13,-1.93,
2012-05-20,-1.82,
2012-05-27,-2.26,
2012-06-03,-2.3,
2012-06-10,-1.94,
2012-06-17,-2.26,
2012-06-24,-2.34,
2012-07-01,-1.99,
2012-07-08,-1.92,
2012-07-15,-2.36,
2012-07-22,-2.13,
2012-07-29,-2.27,
2012-08-05,-2.39,
2012-08-12,-2.34,
2012-08-19,-1.89,
2012-08-26,-1.57,
2012-09-02,-2.36,
2012-09-09,-2.62,
2012-09-16,-1.74,
2012-09-23,-1.88,
2012-09-30,-2.36,-8.6
2012-10-07,-1.72,
2012-10-14,-1.56,
2012-10-21,-2.15,
2012-10-28,-1.39,
2012-11-04,-2.09,
2012-11-11,-2.06,
2012-11-18,-1.83,
2012-11-25,-2.18,
2012-12-02,-1.66,
2012-12-09,-1.65,
2012-12-16,-2.02,
