Date,ZScore_Sum_W,ZScore_Sum_M
2010-01-10,3.79,
2010-01-17,13.99,
2010-01-24,-1.4000000000000001,
2010-01-31,-0.6,15.78
2010-02-07,-4.15,
2010-02-14,-1.54,
2010-02-21,-2.81,
2010-02-28,-2.79,-11.290000000000001
2010-03-07,-1.3900000000000001,
2010-03-14,-1.74,
2010-03-21,-0.44999999999999996,
2010-03-28,-0.78,
2010-04-04,-0.8400000000000001,
2010-04-11,-2.48,
2010-04-18,-1.8399999999999999,
2010-04-25,-2.06,
2010-05-02,-0.8299999999999998,
2010-05-09,-0.71,
2010-05-16,-1.2500000000000002,
2010-05-23,-1.4200000000000002,
2010-05-30,-0.85,
2010-06-06,-2.04,
2010-06-13,-2.65,
2010-06-20,-2.32,
2010-06-27,-3.27,
2010-07-04,-1.7200000000000002,
2010-07-11,-3.88,
2010-07-18,-3.05,
2010-07-25,-3.63,
2010-08-01,1.48,
2010-08-08,-0.98,
2010-08-15,0.29000000000000004,
2010-08-22,-1.7000000000000002,
2010-08-29,-1.18,
2010-09-05,0.5700000000000001,
2010-09-12,-0.61,
2010-09-19,0.43,
2010-09-26,0.8500000000000001,
2010-10-03,-0.51,
2010-10-10,0.54,
2010-10-17,-0.76,
2010-10-24,-0.23000000000000004,
2010-10-31,-0.21999999999999995,-0.8400000000000001
2010-11-07,-0.77,
2010-11-14,-2.28,
2010-11-21,-1.1,
2010-11-28,1.36,
2010-12-05,-0.5,
2010-12-12,-0.24000000000000005,
2010-12-19,-1.87,
2010-12-26,-2.84,
2011-01-02,-3.66,
2011-01-09,-0.97,
2011-01-16,-1.25,
2011-01-23,-0.019999999999999907,
2011-01-30,0.7,
2011-02-06,0.3,
2011-02-13,-0.07000000000000017,
2011-02-20,-2.0700000000000003,
2011-02-27,4.46,
2011-03-06,-2.27,
2011-03-13,-2.87,
2011-03-20,1.5000000000000002,
2011-03-27,-3.45,
2011-04-03,-0.27999999999999997,
2011-04-10,-3.77,
2011-04-17,-1.25,
2011-04-24,-2.89,
2011-05-01,0.6400000000000001,
2011-05-08,-1.92,
2011-05-15,-4.11,
2011-05-22,-1.8599999999999999,
2011-05-29,-1.4899999999999998,
2011-06-05,-4.26,
2011-06-12,-3.45,
2011-06-19,-0.9,
2011-06-26,-0.3900000000000001,
