Stock,Entry Date,Entry Price,Exit Date,Exit Price,Profit,Profit %,Win
stockdata_BAJAJFINSV_Analyzed_All.csv,2022-12-22,1544.3,2022-12-30,1547.85,3.5499999999999545,0.22987761445314733,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2022-12-23,1497.05,2022-12-26,1535.0,37.950000000000045,2.5349854714271434,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-01-24,1332.7,2023-01-30,1343.85,11.149999999999864,0.836647407518561,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-02-22,1360.95,2023-03-03,1355.35,-5.600000000000136,-0.41147727690217395,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-03-13,1295.7,2023-03-17,1301.75,6.0499999999999545,0.4669290730879026,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-07-17,1610.25,2023-07-18,1618.3,8.049999999999955,0.4999223723024347,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-08-10,1519.4,2023-08-22,1467.8,-51.600000000000136,-3.3960773989732878,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-08-17,1476.85,2023-08-21,1478.3,1.4500000000000455,0.09818194129397335,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-12-06,1700.35,2023-12-07,1704.05,3.7000000000000455,0.21760225835857594,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-12-27,1669.45,2023-12-28,1681.2,11.75,0.7038246128964629,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2023-12-29,1685.8,2024-01-02,1686.2,0.40000000000009095,0.023727607070832303,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-01-03,1677.65,2024-01-04,1701.95,24.299999999999955,1.4484546836348435,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-01-15,1632.4,2024-01-24,1620.85,-11.550000000000182,-0.7075471698113319,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-01-17,1586.15,2024-01-19,1600.5,14.349999999999909,0.9047063644674154,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-01-29,1636.95,2024-02-02,1651.5,14.549999999999955,0.8888481627416814,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-02-01,1622.25,2024-02-02,1651.5,29.25,1.8030513176144243,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-02-08,1570.55,2024-02-09,1570.95,0.40000000000009095,0.02546878482061004,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-02-21,1586.95,2024-02-22,1592.55,5.599999999999909,0.35287816251299087,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-02-26,1614.3,2024-03-04,1619.3,5.0,0.309731772285201,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-03-14,1563.7,2024-03-15,1571.45,7.75,0.4956193643281959,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-03-21,1602.6,2024-03-28,1643.85,41.25,2.5739423436915017,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-03-22,1587.55,2024-03-26,1593.9,6.350000000000136,0.3999874019716,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-04-12,1698.65,2024-04-24,1630.35,-68.30000000000018,-4.020840078886185,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-05-08,1603.05,2024-05-17,1584.75,-18.299999999999955,-1.1415738748011575,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-05-23,1608.45,2024-06-03,1575.8,-32.65000000000009,-2.0299045665081348,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-07-02,1579.75,2024-07-03,1594.15,14.400000000000091,0.9115366355436045,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-07-08,1570.1,2024-07-09,1581.6,11.5,0.7324374243678747,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-08-01,1634.8,2024-08-12,1559.0,-75.79999999999995,-4.636652801565938,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-08-19,1551.1,2024-08-20,1602.1,51.0,3.2879891689768557,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-08-23,1639.9,2024-08-26,1686.2,46.299999999999955,2.823342886761385,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-08-26,1686.2,2024-08-27,1719.0,32.799999999999955,1.945202229865968,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-09-05,1864.95,2024-09-13,1894.45,29.5,1.581811844821577,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-01,1975.25,2024-10-11,1876.4,-98.84999999999991,-5.004429819010247,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-04,1884.55,2024-10-15,1853.95,-30.59999999999991,-1.6237298028707072,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-07,1879.3,2024-10-16,1862.05,-17.25,-0.917894960889693,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-14,1867.2,2024-10-23,1739.7,-127.5,-6.82840616966581,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-16,1862.05,2024-10-25,1707.4,-154.64999999999986,-8.305362369431533,False
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-21,1758.4,2024-10-29,1766.7,8.299999999999955,0.4720200181983596,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-10-28,1730.45,2024-10-29,1766.7,36.25,2.094830824352047,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-12-12,1679.3,2024-12-13,1679.7,0.40000000000009095,0.023819448579770794,True
stockdata_BAJAJFINSV_Analyzed_All.csv,2024-12-26,1559.3,2024-12-27,1579.3,20.0,1.2826268197268005,True
