Entry Date,Entry Price,Exit Date,Exit Price,Profit,Profit %,Win,Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,CLOSE,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Total Trades,Winning Trades,Losing Trades,Win Probability %
2010-03-17,329.9,2010-03-29,324.3,-5.599999999999966,-1.6974840860866827,False,2010-03-17,BAJAJFINSV,444100,,415494,219.7,1028.57,368.17,Very High,High,,,0.66,-0.07,-0.79,-83.54,8.86,-92.4,Low,-0.65,Neutral,Very High,Very High,Very High,,329.9,,,,,-0.69,,,0.0,330.55,330.45,333.7,328.1,330.04,,,,,1.8,3.8,5.6,False,0.0,,Bearish,-0.0019683555450509,-0.6500000000000341,Neutral,337.6282425219897,337.66435584880327,-2.37,,,-2.27,-0.04,2.23,-0.77,Sell,Sell,-1.6800000000000068,-0.91,2.62,3.92,False,4.89,6.84,False,-0.6500000000000341,13.003805041280192,-8.452473276832569,,-1.463634316595438e-06,,,,False,99,75,24,75.75757575757575
2010-09-17,524.8,2010-09-20,527.5,2.7000000000000455,0.5144817073170819,True,2010-09-17,BAJAJFINSV,576471,,329046,292.68,977.78,234.08,Very High,Very High,,,0.41,0.09,-0.79,-51.9,-11.39,-40.51,Low,10.55,Neutral,Very High,Very High,Very High,,524.8,,,,,-0.58,,,0.0,514.25,516.0,539.0,516.0,527.28,,,,,8.8,14.2,23.0,True,2.48,CandleHighSwipe,Bullish,0.0203077090968122,10.549999999999956,Neutral,516.4574996861172,500.6906269797366,-9.77,,,-6.71,15.77,22.48,0.36,Sell,Buy,16.19999999999999,15.84,6.41,6.86,False,12.52,10.75,True,10.549999999999956,13.264680313870045,139.94237731132836,,1.830100733601509e-05,,,,False,99,75,24,75.75757575757575
2010-09-24,527.4,2010-09-27,534.1,6.7000000000000455,1.2703830109973542,True,2010-09-24,BAJAJFINSV,455174,,394568,231.67,1216.67,425.17,Very High,High,,,0.6,-0.06,-0.79,-75.95,7.59,-83.54,Low,1.2,Neutral,Very High,Very High,Very High,,527.4,,,,,-0.65,,,0.0,526.2,528.95,534.9,522.75,528.28,,,,,4.65,7.5,12.15,True,0.74,CandleHighSwipe,Bearish,0.0022779053129937,1.1999999999999318,Neutral,523.960938167179,514.2792744346107,-0.17,,,-4.39,9.68,14.07,-0.6,Sell,Sell,15.180000000000064,15.78,5.01,6.24,False,7.59,8.83,False,1.1999999999999318,13.028435042412536,15.634122050894156,,2.6363544490676797e-06,,,,False,99,75,24,75.75757575757575
2010-12-14,457.8,2010-12-15,458.9,1.099999999999966,0.24027959807775578,True,2010-12-14,BAJAJFINSV,636033,,620162,163.2,593.75,263.82,Very High,Very High,,,1.25,0.16,-0.79,-158.23,-20.25,-137.98,Low,-1.4,Neutral,Very High,Very High,Very High,,457.8,,,,,-0.69,,,0.0,459.2,459.95,461.0,456.15,459.88,,,,,1.65,3.2,4.85,False,0.0,,Bearish,-0.0030534374868897,-1.3999999999999773,Neutral,463.7727748835885,463.65151259581125,-2.18,,,0.68,0.12,-0.56,-0.81,Buy,Sell,-4.029999999999973,-3.22,4.62,7.53,False,4.87,8.1,False,-1.3999999999999773,13.36300572776864,-18.70820801887579,,-2.201143651351388e-06,,,,False,99,75,24,75.75757575757575
2011-06-27,522.25,2011-07-06,518.85,-3.3999999999999773,-0.6510292005744333,False,2011-06-27,BAJAJFINSV,516489,14882.0,209828,816.67,4400.0,438.77,Very High,High,Medium,,0.06,0.01,-0.43,-13.95,-2.33,-11.62,Medium,15.95,Neutral,Very High,Very High,Very High,520.62,522.25,,,,,-0.47,,,0.0,506.3,499.8,540.0,499.6,521.74,,,,,22.65,17.75,40.4,False,0.0,NoSwipe,Bullish,0.0310170214608112,15.949999999999989,Neutral,534.4871508757541,537.7813793206501,-11.8,0.86,17.81,-11.31,-3.29,8.02,-4.37,Sell,Sell,-1.5799999999999272,2.79,18.39,10.55,True,13.6,14.54,False,15.949999999999989,13.1548092701224,209.81920785845213,34.705617524526275,3.088158702315052e-05,0.0140988582084701,1.15,1.25,False,99,75,24,75.75757575757575
2011-09-16,566.3,2011-09-27,535.05,-31.25,-5.518276531873566,False,2011-09-16,BAJAJFINSV,478976,12648.0,238625,442.86,1500.0,238.71,Very High,High,Medium,,0.14,-0.03,-0.48,-29.17,6.25,-35.42,Low,24.6,Neutral,Very High,Very High,Very High,561.18,566.3,,,,,-0.53,,,0.0,541.7,546.4,574.0,543.25,560.62,,,,,23.05,7.7,30.75,False,0.0,NoSwipe,Bullish,0.0444116304559054,24.59999999999991,Neutral,558.4803045277235,555.7349208306107,-0.93,1.23,-30.11,0.45,2.75,2.3,2.17,Buy,Buy,10.190000000000056,8.02,13.26,11.35,True,11.66,18.05,False,24.59999999999991,13.079405770753652,321.75338196053866,37.8697027197976,5.135956707642953e-05,0.0254390719450141,1.36,1.17,True,99,75,24,75.75757575757575
2012-10-26,858.85,2012-11-01,860.95,2.1000000000000227,0.24451301158526198,True,2012-10-26,BAJAJFINSV,532099,18349.0,321563,192.11,1266.67,559.35,Very High,High,High,,0.38,0.03,-0.35,-108.57,-8.57,-100.0,Low,-61.8,Neutral,Very High,Very High,Very High,881.02,858.85,,,,,-0.22,,,0.0,920.65,927.9,933.0,851.2,878.1,,,,,7.65,74.15,81.8,True,0.77,CandleOpenHighSwipe,Bearish,-0.069485657230194,-61.79999999999996,Neutral,878.7694609771763,875.5244767342252,-1.2,0.35,-48.53,-18.58,3.24,21.82,-1.06,Sell,Sell,15.0,16.06,15.32,15.16,True,42.04,22.43,True,-61.79999999999996,13.184584841236708,-814.8073431884279,28.998801024578995,-0.0001161438003078,-0.0444060898789268,0.7,0.81,False,99,75,24,75.75757575757575
2012-12-28,906.5,2013-01-01,911.65,5.149999999999977,0.5681191395477084,True,2012-12-28,BAJAJFINSV,454001,3350.0,417897,207.58,1083.33,421.89,Very High,High,Medium,,0.66,-0.06,-0.71,-92.96,8.45,-101.41,Low,-9.1,Neutral,Very High,Very High,Very High,909.3,906.5,,,,,-0.55,,,0.0,915.6,922.15,924.4,897.0,908.86,,,,,9.5,17.9,27.4,False,0.0,NoSwipe,Bearish,-0.0099885578835063,-9.100000000000025,Neutral,915.165072533136,908.2502918838004,-2.45,4.95,-2.37,-11.44,6.91,18.35,-4.24,Sell,Sell,9.329999999999927,13.57,10.55,12.41,False,17.26,18.65,False,-9.100000000000025,13.025854679664231,-118.5352775849448,135.5226865671642,-2.0044008713637244e-05,-0.0353836649507297,3.33,2.1,True,99,75,24,75.75757575757575
2013-02-27,844.85,2013-03-08,810.35,-34.5,-4.083565129904717,False,2013-02-27,BAJAJFINSV,584606,5266.0,544469,164.08,760.0,363.19,Very High,Very High,Medium,,1.03,0.1,-0.66,-156.06,-15.15,-140.91,Low,1.7,Neutral,Very High,Very High,Very High,845.87,844.85,,,,,-0.59,,,0.0,843.15,850.0,857.5,835.25,850.01,,,,,9.6,12.65,22.25,True,0.1,BothHighLowSwipe,Bearish,0.0020142186904648,1.7000000000000457,Neutral,820.4718613787784,827.2225888025728,8.03,4.99,531.65,13.25,-6.75,-20.0,8.45,Buy,Buy,-6.269999999999982,-14.72,10.45,12.85,False,15.22,16.73,False,1.7000000000000457,13.2786933950346,22.57377877155942,111.01519179642992,2.9079414169544025e-06,0.0042867031468969,2.08,1.37,True,99,75,24,75.75757575757575
2014-05-08,833.0,2014-05-09,838.05,5.0499999999999545,0.6062424969987941,True,2014-05-08,BAJAJFINSV,459137,2116.0,440967,201.37,1133.33,462.81,Very High,High,Low,,0.73,-0.06,-0.74,-98.65,8.11,-106.76,Low,12.15,Neutral,Very High,Very High,Very High,829.68,833.0,,,,,-0.62,,,0.0,820.85,820.05,836.0,820.05,824.79,,,,,12.95,3.0,15.95,False,0.0,NoSwipe,Bullish,0.0146932534263157,12.149999999999975,Neutral,822.7512144013639,804.563948167532,-5.12,13.6,196.94,-5.14,18.19,23.33,-0.18,Sell,Sell,20.720000000000027,20.9,13.53,13.3,True,4.26,6.34,False,12.149999999999975,13.03710391945343,158.40081262135888,216.9834593572779,2.646268978540169e-05,0.0748586070989408,5.97,3.41,True,99,75,24,75.75757575757575
2014-09-02,1101.95,2014-09-08,1102.0,0.049999999999954525,0.004537410953305915,True,2014-09-02,BAJAJFINSV,608134,4145.0,571723,162.16,630.77,288.98,Very High,Very High,Medium,,1.11,0.13,-0.69,-160.87,-18.84,-142.03,Low,34.45,Neutral,Very High,Very High,Very High,1095.72,1101.95,,,,,-0.44,,,0.0,1067.5,1073.0,1115.55,1069.65,1084.69,,,,,32.3,13.6,45.9,False,0.0,NoSwipe,Bullish,0.0317618715299206,34.450000000000045,Neutral,1032.3356088302626,1000.6671641286348,8.58,3.2,400.0,18.64,31.67,13.03,16.53,Buy,Buy,32.889999999999986,16.36,27.2,19.09,True,12.79,12.6,True,34.450000000000045,13.318150531401796,458.8102858067924,146.71507840772014,5.6648699135388e-05,0.1106900568894553,1.47,1.26,True,99,75,24,75.75757575757575
2014-11-21,1073.6,2014-11-25,1076.25,2.650000000000091,0.24683308494784753,True,2014-11-21,BAJAJFINSV,489727,4705.0,413721,203.08,3250.0,1500.35,Very High,High,Medium,,0.65,-0.02,-0.67,-97.01,2.99,-100.0,Low,32.1,Neutral,Very High,Very High,Very High,1064.05,1073.6,,,,,-0.47,,,0.0,1041.5,1042.0,1080.0,1038.55,1048.82,,,,,35.05,6.4,41.45,False,0.0,,Bullish,0.0303555055163897,32.09999999999991,Neutral,1050.428284443076,1051.0803765862415,0.87,2.51,99.21,5.16,-0.65,-5.81,1.69,Buy,Buy,-1.7699999999999818,-3.46,22.61,16.77,True,16.25,19.08,False,32.09999999999991,13.101603371967911,420.5614682401688,104.0865037194474,6.55467229701444e-05,0.0893860718895151,3.13,2.69,True,99,75,24,75.75757575757575
2015-06-03,1516.6,2015-06-04,1530.2,13.600000000000136,0.8967427139654581,True,2015-06-03,BAJAJFINSV,531267,3519.0,517928,172.92,2433.33,1307.2,Very High,High,Medium,,0.96,0.03,-0.7,-137.14,-4.29,-132.85,Low,11.3,Neutral,Very High,Very High,Very High,1498.33,1516.6,,,,,-0.17,,,0.0,1505.3,1484.0,1534.4,1444.0,1508.91,,,,,72.6,17.8,90.4,True,0.62,BothHighLowSwipe,Bullish,0.0074787734003765,11.299999999999956,Neutral,1495.4580121219562,1471.5335759792,-9.68,1.67,68.69,-6.42,23.92,30.34,3.84,Sell,Buy,27.430000000000064,23.59,55.57,30.92,True,20.28,19.59,True,11.299999999999956,13.183019998708774,148.96812598540856,150.97101449275362,2.1269907598250887e-05,0.0423325166198944,0.89,0.6,True,99,75,24,75.75757575757575
2015-09-30,1729.5,2015-10-01,1762.6,33.09999999999991,1.913847932928587,True,2015-09-30,BAJAJFINSV,538395,3224.0,525591,172.45,1875.0,987.27,Very High,High,Medium,,0.98,0.04,-0.71,-138.03,-5.63,-132.4,Low,5.55,Neutral,Very High,Very High,Very High,1737.5,1729.5,,,,,-0.52,,,0.0,1723.95,1736.0,1758.0,1725.0,1729.93,,,,,4.5,28.5,33.0,True,0.17,CandleHighSwipe,Bearish,0.0032141798943463,5.5499999999999545,Neutral,1775.0408998264463,1774.8005111996522,-13.02,5.06,1774.07,9.64,0.24,-9.4,-10.13,Buy,Sell,-21.389999999999876,-11.26,11.84,24.96,False,30.97,38.69,False,5.5499999999999545,13.1963477704939,73.23973012624054,166.9959677419355,1.030841668291859e-05,0.0227170378803475,1.84,0.95,True,99,75,24,75.75757575757575
2016-06-27,2181.9,2016-06-28,2196.1,14.199999999999818,0.650808927998525,True,2016-06-27,BAJAJFINSV,523701,23820.0,272859,191.67,1200.0,526.08,Very High,High,High,,0.24,0.02,-0.22,-109.09,-9.09,-100.0,Low,104.25,Neutral,Very High,Very High,Very High,2171.97,2181.9,,,,,0.22,,,0.0,2077.65,2091.0,2244.0,2090.0,2181.96,,,,,91.9,62.1,154.0,False,0.0,NoSwipe,Bullish,0.0489586095393876,104.25,Neutral,2015.8141550729283,1950.651487649848,8.34,0.14,133.33,21.19,65.16,43.97,23.91,Buy,Buy,67.46000000000004,43.55,90.96,47.65,True,42.94,37.03,True,104.25,13.168676189755924,1372.834492782055,21.985768261964736,0.0001990639697079,0.057633689873302,0.16,0.19,False,99,75,24,75.75757575757575
2016-11-07,3141.45,2016-11-17,2918.15,-223.29999999999973,-7.108182527176932,False,2016-11-07,BAJAJFINSV,338349,37847.0,235010,7.69,160.0,1980.62,Very High,High,High,,0.13,-0.2,0.12,108.33,-166.67,275.0,Very High,-55.25,Neutral,Low,Very High,Very High,3181.18,3141.45,,,,,0.33,,,0.0,3196.7,3248.0,3287.0,3115.1,3208.5,,,,,26.35,145.55,171.9,False,0.0,NoSwipe,Bearish,-0.0174345509310533,-55.25,Neutral,3298.460280054104,3249.170069604644,-20.38,0.05,25.0,-11.09,49.29,60.38,-24.48,Sell,Sell,44.31999999999971,68.8,24.27,43.9,False,126.25,77.59,True,-55.25,12.731833186136573,-703.4337835340456,8.939915977488308,-0.0001632929312632,-0.0185862494658505,0.07,0.09,False,99,75,24,75.75757575757575
2016-11-15,2827.85,2016-11-16,2924.45,96.59999999999991,3.4160227734851536,True,2016-11-15,BAJAJFINSV,529100,59163.0,343598,40.0,2000.0,4900.0,Very High,High,Very High,,0.45,0.03,0.63,71.43,4.76,66.67,Very High,-194.0,Neutral,Medium,Very High,Very High,2883.6,2827.85,,,,,0.82,,,0.0,3021.85,3030.05,3038.0,2784.95,2848.06,,,,,42.9,210.15,253.05,False,0.0,NoSwipe,Bearish,-0.0663525210067792,-194.0,Neutral,3133.2264116081133,3189.913845763937,-29.52,0.04,33.33,-61.91,-56.69,5.22,-57.48,Sell,Sell,-45.409999999999854,12.07,94.43,85.22,True,152.67,105.86,True,-194.0,13.178932728892224,-2556.7129494050914,8.94308943089431,-0.0003666603666603,-0.0432147279449164,0.05,0.06,False,99,75,24,75.75757575757575
2016-11-24,2949.45,2016-11-25,2970.15,20.700000000000273,0.7018257641255242,True,2016-11-24,BAJAJFINSV,369076,40155.0,232098,41.67,200.0,379.96,Very High,High,High,,0.12,-0.17,0.17,70.59,-100.0,170.59,Very High,18.3,Neutral,Medium,Very High,Very High,2936.02,2949.45,,,,,-0.16,,,0.0,2931.15,2935.0,2975.5,2883.1,2945.34,,,,,66.35,26.05,92.4,True,0.56,CandleHighSwipe,Bullish,0.0062238747996126,18.299999999999727,Neutral,2954.1641166027507,3101.4067446048425,-1.66,0.1,25.0,-44.2,-147.24,-103.04,-21.0,Sell,Sell,-80.44000000000005,-59.44,56.94,67.82,False,40.5,84.2,False,18.299999999999727,12.818757863875012,234.5832689089092,9.19128377537044,4.95832836597333e-05,0.0058419441889903,0.08,0.07,True,99,75,24,75.75757575757575
2016-11-25,2970.15,2016-11-30,2990.0,19.84999999999991,0.6683164149958726,True,2016-11-25,BAJAJFINSV,516372,56427.0,337418,30.23,5500.0,18093.85,Very High,High,Very High,,0.43,0.01,0.56,76.79,1.79,75.0,Very High,20.7,Neutral,Low,Very High,Very High,2979.65,2970.15,,,,,-0.18,,,0.0,2949.45,2979.0,3028.8,2940.0,2982.79,,,,,30.15,58.65,88.8,True,1.79,CandleOpenHighSwipe,Bearish,0.0069937442982377,20.700000000000276,Neutral,2945.853547612965,3080.273458012027,12.82,0.1,0.0,-25.1,-134.42,-109.32,-12.7,Sell,Sell,-75.30999999999995,-62.61,43.54,64.4,False,49.58,80.55,False,20.700000000000276,13.15458271495089,272.299862199487,9.151151044712638,4.008737886639917e-05,0.0048257015648446,0.09,0.08,True,99,75,24,75.75757575757575
