Entry Date,Entry Price,Exit Date,Exit Price,Profit,Profit %,Win,Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,CLOSE,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Total Trades,Winning Trades,Losing Trades,Win Probability %
2010-03-17,329.9,2010-03-29,324.3,-5.599999999999966,-1.6974840860866827,False,2010-03-17,BAJAJFINSV,444100,,415494,219.7,1028.57,368.17,Very High,High,,,0.66,-0.07,-0.79,-83.54,8.86,-92.4,Low,-0.65,Neutral,Very High,Very High,Very High,,329.9,,,,,-0.69,,,0.0,330.55,330.45,333.7,328.1,330.04,,,,,1.8,3.8,5.6,False,0.0,,Bearish,-0.0019683555450509,-0.6500000000000341,Neutral,337.6282425219897,337.66435584880327,-2.37,,,-2.27,-0.04,2.23,-0.77,Sell,Sell,-1.6800000000000068,-0.91,2.62,3.92,False,4.89,6.84,False,-0.6500000000000341,13.003805041280192,-8.452473276832569,,-1.463634316595438e-06,,,,False,99,75,24,75.75757575757575
2011-06-27,522.25,2011-07-06,518.85,-3.3999999999999773,-0.6510292005744333,False,2011-06-27,BAJAJFINSV,516489,14882.0,209828,816.67,4400.0,438.77,Very High,High,Medium,,0.06,0.01,-0.43,-13.95,-2.33,-11.62,Medium,15.95,Neutral,Very High,Very High,Very High,520.62,522.25,,,,,-0.47,,,0.0,506.3,499.8,540.0,499.6,521.74,,,,,22.65,17.75,40.4,False,0.0,NoSwipe,Bullish,0.0310170214608112,15.949999999999989,Neutral,534.4871508757541,537.7813793206501,-11.8,0.86,17.81,-11.31,-3.29,8.02,-4.37,Sell,Sell,-1.5799999999999272,2.79,18.39,10.55,True,13.6,14.54,False,15.949999999999989,13.1548092701224,209.81920785845213,34.705617524526275,3.088158702315052e-05,0.0140988582084701,1.15,1.25,False,99,75,24,75.75757575757575
2011-09-16,566.3,2011-09-27,535.05,-31.25,-5.518276531873566,False,2011-09-16,BAJAJFINSV,478976,12648.0,238625,442.86,1500.0,238.71,Very High,High,Medium,,0.14,-0.03,-0.48,-29.17,6.25,-35.42,Low,24.6,Neutral,Very High,Very High,Very High,561.18,566.3,,,,,-0.53,,,0.0,541.7,546.4,574.0,543.25,560.62,,,,,23.05,7.7,30.75,False,0.0,NoSwipe,Bullish,0.0444116304559054,24.59999999999991,Neutral,558.4803045277235,555.7349208306107,-0.93,1.23,-30.11,0.45,2.75,2.3,2.17,Buy,Buy,10.190000000000056,8.02,13.26,11.35,True,11.66,18.05,False,24.59999999999991,13.079405770753652,321.75338196053866,37.8697027197976,5.135956707642953e-05,0.0254390719450141,1.36,1.17,True,99,75,24,75.75757575757575
2013-02-27,844.85,2013-03-08,810.35,-34.5,-4.083565129904717,False,2013-02-27,BAJAJFINSV,584606,5266.0,544469,164.08,760.0,363.19,Very High,Very High,Medium,,1.03,0.1,-0.66,-156.06,-15.15,-140.91,Low,1.7,Neutral,Very High,Very High,Very High,845.87,844.85,,,,,-0.59,,,0.0,843.15,850.0,857.5,835.25,850.01,,,,,9.6,12.65,22.25,True,0.1,BothHighLowSwipe,Bearish,0.0020142186904648,1.7000000000000457,Neutral,820.4718613787784,827.2225888025728,8.03,4.99,531.65,13.25,-6.75,-20.0,8.45,Buy,Buy,-6.269999999999982,-14.72,10.45,12.85,False,15.22,16.73,False,1.7000000000000457,13.2786933950346,22.57377877155942,111.01519179642992,2.9079414169544025e-06,0.0042867031468969,2.08,1.37,True,99,75,24,75.75757575757575
2016-11-07,3141.45,2016-11-17,2918.15,-223.29999999999973,-7.108182527176932,False,2016-11-07,BAJAJFINSV,338349,37847.0,235010,7.69,160.0,1980.62,Very High,High,High,,0.13,-0.2,0.12,108.33,-166.67,275.0,Very High,-55.25,Neutral,Low,Very High,Very High,3181.18,3141.45,,,,,0.33,,,0.0,3196.7,3248.0,3287.0,3115.1,3208.5,,,,,26.35,145.55,171.9,False,0.0,NoSwipe,Bearish,-0.0174345509310533,-55.25,Neutral,3298.460280054104,3249.170069604644,-20.38,0.05,25.0,-11.09,49.29,60.38,-24.48,Sell,Sell,44.31999999999971,68.8,24.27,43.9,False,126.25,77.59,True,-55.25,12.731833186136573,-703.4337835340456,8.939915977488308,-0.0001632929312632,-0.0185862494658505,0.07,0.09,False,99,75,24,75.75757575757575
2022-11-16,1685.65,2022-11-25,1633.7,-51.950000000000045,-3.0818971909945745,False,2022-11-16,BAJAJFINSV,2040699,80772.0,579310,0.88,38.83,4312.5,Very High,Very High,Very High,Medium,1.14,1.88,1.15,99.13,163.48,-64.35,Low,-22.85,Strong Supply,Low,High,Very High,1691.72,1685.65,-27.09999999999991,1691.45,-0.24,5.7999999999999545,-0.48,-0.7,34500.0,-0.68,1708.5,1713.7,1714.5,1675.0,1688.61,6236500.0,2022-11-24,82.75,ShortBuildUp,10.65,28.85,39.5,False,0.0,NoSwipe,Bearish,-0.0134645464773042,-22.84999999999991,Strong Supply,1734.906074211589,1712.309964115706,3.86,0.64,-24.71,12.63,22.6,9.97,80.84,Buy,Buy,-174.54999999999995,-255.39,11.2,20.53,False,26.47,26.18,True,-22.84999999999991,14.528802954189125,-331.9831475032201,25.264930916654286,-1.1197143723792636e-05,-0.004110126621889,0.77,0.81,False,99,75,24,75.75757575757575
2023-01-05,1468.85,2023-01-16,1383.9,-84.94999999999982,-5.7834360213772555,False,2023-01-05,BAJAJFINSV,5979381,250364.0,2088111,5.96,22.47,277.01,Very High,Very High,Very High,High,5.54,6.72,5.21,106.33,128.98,-22.64999999999999,Medium,-79.0,Strong Supply,Low,Low,Very High,1490.52,1468.85,-82.20000000000005,1481.5,-0.1600000000000001,12.650000000000093,-0.15,-3.11,121500.0,-3.03,1547.85,1548.0,1548.0,1454.7,1476.07,360500.0,2023-02-23,80.86,ShortBuildUp,14.15,79.15,93.3,False,0.0,NoSwipe,Bearish,-0.0523870895486666,-79.0,Strong Supply,1527.189885720703,1567.858044842495,0.48,0.26,-70.45,-3.13,-40.67,-37.54,3.4,Sell,Buy,-42.5,-45.9,13.9,16.13,False,46.99,26.09,True,-79.0,15.603827608863424,-1232.7023811002105,23.88275071495902,-1.3212069945032772e-05,-0.0049236407035364,0.74,0.85,False,99,75,24,75.75757575757575
2023-02-22,1360.95,2023-03-03,1355.35,-5.600000000000136,-0.41147727690217395,False,2023-02-22,BAJAJFINSV,1402505,74603.0,528443,1.01,9.09,800.0,Very High,Very High,Very High,Low,0.99,1.1,1.0,99.0,110.0,-11.0,High,-33.35,Strong Supply,Low,Low,Very High,1369.65,1360.95,-34.25,1359.05,-0.0699999999999998,-1.900000000000091,-0.5,0.3,-2202500.0,0.3,1394.3,1389.9,1392.0,1356.0,1367.99,2493500.0,2023-02-23,81.12,LongUnwinding,4.95,31.05,36.0,False,0.0,NoSwipe,Bearish,-0.0242095119172276,-33.34999999999991,Strong Supply,1393.7235261531307,1352.7681174757815,4.88,0.52,-60.0,36.58,40.96,4.38,8.49,Buy,Buy,-5.309999999999945,-13.8,5.56,14.77,False,23.24,17.07,True,-33.34999999999991,14.15377048143502,-472.0282455558567,18.799579105397907,-2.377888135871167e-05,-0.0063272019296255,0.94,0.94,False,99,75,24,75.75757575757575
2023-08-10,1519.4,2023-08-22,1467.8,-51.600000000000136,-3.3960773989732878,False,2023-08-10,BAJAJFINSV,900666,50545.0,329363,2.44,14.29,485.66,Very High,Very High,High,Medium,0.41,0.49,0.42,97.62,116.67,-19.05,Medium,2.8,Strong Demand,Low,Low,Very High,1518.08,1519.4,3.5,1526.1,0.05,6.699999999999818,-0.57,,-104000.0,0.0,1516.6,1512.55,1529.75,1505.1,1518.78,9624000.0,2023-08-31,,ShortCovering,14.3,10.35,24.65,False,0.0,,Bullish,0.0018445328022869,2.800000000000182,Strong Demand,1557.845195878984,1585.6760039179535,-3.62,0.72,-15.29,-18.84,-27.83,-8.99,-13.61,Sell,Sell,-15.299999999999956,-1.69,15.23,15.67,False,10.94,17.68,False,2.800000000000182,13.710889768641447,38.39049135219855,17.81909189830844,3.1088105912737706e-06,0.0007595309398001,0.73,0.68,True,99,75,24,75.75757575757575
2023-09-25,1577.4,2023-10-05,1542.55,-34.850000000000136,-2.2093318118422807,False,2023-09-25,BAJAJFINSV,2962182,121028.0,948675,4.52,30.13,566.59,Very High,Very High,Very High,Low,2.21,3.02,2.11,104.74,143.13,-38.39,Low,33.7,Strong Demand,Low,Medium,Very High,1571.7,1577.4,33.90000000000009,1577.0,0.02,-0.4000000000000909,-0.45,-0.11,-1886000.0,-0.1,1543.7,1549.7,1591.0,1546.7,1579.75,7106000.0,2023-09-28,79.5,ShortCovering,30.7,13.6,44.3,False,0.0,NoSwipe,Bullish,0.0215957897760947,33.700000000000045,Strong Demand,1547.8412462934225,1520.3929260955606,-0.1,0.55,-30.38,6.1,27.45,21.35,4.37,Buy,Buy,10.400000000000093,6.03,23.29,15.63,True,13.63,13.89,False,33.700000000000045,14.901436716891832,502.1784173592554,24.47517929735268,1.137674862651925e-05,0.0041492746914702,0.66,0.75,False,99,75,24,75.75757575757575
2023-10-17,1657.65,2023-10-27,1566.4,-91.25,-5.504780864476819,False,2023-10-17,BAJAJFINSV,1689224,78047.0,569428,2.7,25.52,845.19,Very High,Very High,Very High,Low,1.11,1.45,1.08,102.78,134.26,-31.47999999999999,Low,15.3,Strong Demand,Low,Medium,Very High,1659.98,1657.65,13.549999999999956,1659.95,-0.1100000000000001,2.2999999999999545,-0.53,-1.23,2500.0,-1.2,1642.35,1649.9,1676.75,1645.55,1658.65,9492000.0,2023-10-26,79.05,LongBuildUp,12.1,19.1,31.2,False,0.0,NoSwipe,Bullish,0.0092727937153576,15.300000000000182,Strong Demand,1605.352599880397,1577.715180924879,2.62,0.69,-23.33,5.27,27.64,22.37,7.64,Buy,Buy,30.819999999999936,23.18,13.95,17.57,False,12.88,11.39,True,15.300000000000182,14.339779809850064,219.3986310907086,21.64367624636437,9.057413344825898e-06,0.0028111090892758,0.78,0.78,False,99,75,24,75.75757575757575
