Entry Date,Entry Price,Exit Date,Exit Price,Profit,Profit %,Win,Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,CLOSE,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Total Trades,Winning Trades,Losing Trades,Win Probability %,Optimized Total Trades,Optimized Winning Trades,Optimized Win Probability %
2024-04-12,1698.65,2024-04-24,1630.35,-68.30000000000018,-4.020840078886185,False,2024-04-12,BAJAJFINSV,1312132,86806.0,656967,5.15,30.3,488.35,Very High,Very High,Very High,Low,1.36,0.99,1.29,105.43,76.74,28.69000000000001,Very High,-5.45,Strong Supply,Low,Medium,Very High,1698.13,1698.65,-6.099999999999909,1699.95,-0.0399999999999999,1.2999999999999543,-0.62,0.18,-144000.0,0.18,1704.1,1700.0,1706.2,1689.55,1698.12,9576000.0,2024-04-25,82.19,LongUnwinding,9.1,7.55,16.65,True,0.38,CandleLowSwipe,Bearish,-0.0032032941945461,-5.449999999999818,Strong Supply,1652.5841377105476,1617.9078259976363,4.64,0.91,28.17,13.59,34.68,21.09,10.11,Buy,Buy,28.1099999999999,18.0,11.19,16.14,False,10.08,12.6,False,-5.449999999999818,14.087163853181448,-76.77504299983633,15.115683247701773,-4.153545527431553e-06,-0.000884443967005,0.85,0.75,True,99,75,24,75.75757575757575,7,4,57.14285714285714
2024-05-23,1608.45,2024-06-03,1575.8,-32.65000000000009,-2.0299045665081348,False,2024-05-23,BAJAJFINSV,1547483,100098.0,756306,2.42,25.78,965.29,Very High,Very High,Very High,Medium,1.65,1.28,1.61,102.48,79.5,22.980000000000004,Very High,24.5,Strong Demand,Low,Medium,Very High,1600.98,1608.45,25.200000000000045,1612.9,0.04,4.4500000000000455,-0.53,0.96,-558000.0,0.94,1583.95,1587.1,1613.25,1581.25,1599.83,8506500.0,2024-05-30,79.41,ShortCovering,27.2,4.8,32.0,False,0.0,NoSwipe,Bullish,0.015349255114665,24.5,Strong Demand,1585.9478469924716,1614.009362680508,0.78,0.48,-50.52,-8.32,-28.06,-19.74,1.4,Sell,Buy,-8.980000000000018,-10.38,18.76,14.43,True,7.05,14.12,False,24.5,14.252140298020128,349.1774373014932,15.459679514076203,1.5832160999506943e-05,0.0034883557843462,0.59,0.53,True,99,75,24,75.75757575757575,7,4,57.14285714285714
2024-07-02,1579.75,2024-07-03,1594.15,14.400000000000091,0.9115366355436045,True,2024-07-02,BAJAJFINSV,2572175,172144.0,1383077,4.31,31.1,621.58,Very High,Very High,Very High,Medium,3.48,2.54,3.33,104.5,76.28,28.22,Very High,-0.45,Strong Supply,Low,Medium,Very High,1575.28,1579.75,-5.300000000000182,1585.35,-0.3,5.599999999999909,-0.58,-0.63,-117000.0,-0.61,1580.2,1580.2,1585.0,1561.1,1572.86,12710500.0,2024-07-25,78.92,LongUnwinding,18.65,4.8,23.9,False,0.0,NoSwipe,Doji,-0.0002848146350684,-0.4500000000000455,Strong Supply,1590.5501888576982,1566.581228130136,-1.72,0.63,-71.1,7.88,23.97,16.09,1.1,Buy,Buy,2.8199999999999363,1.72,12.01,14.3,False,10.84,13.78,False,-0.4500000000000455,14.76026240246046,-6.642118081107879,14.941996235709638,-1.749492161303354e-07,-3.858466214975764e-05,1.03,0.92,True,99,75,24,75.75757575757575,7,4,57.14285714285714
2024-08-26,1686.2,2024-08-27,1719.0,32.799999999999955,1.945202229865968,True,2024-08-26,BAJAJFINSV,2446507,156411.0,1245686,3.9,24.37,524.87,Very High,Very High,Very High,Low,3.08,2.38,2.96,104.05,80.41,23.64,Very High,46.3,Strong Demand,Low,Medium,Very High,1670.98,1686.2,47.850000000000136,1686.95,0.1,0.75,-0.42,-1.37,-3137500.0,-1.33,1639.9,1649.0,1688.0,1638.75,1671.75,8822500.0,2024-08-29,75.09,ShortCovering,47.45,1.8,49.25,False,0.0,NoSwipe,Bullish,0.0278422121391752,46.29999999999996,Strong Demand,1587.757770716234,1598.103019243525,10.52,0.32,-40.74,6.25,-10.35,-16.6,12.23,Buy,Buy,10.450000000000044,-1.78,32.6,19.37,True,4.27,11.09,False,46.29999999999996,14.71017185093755,681.0809566984079,15.641527769786013,1.892494074204568e-05,0.0043544313168409,0.48,0.58,False,99,75,24,75.75757575757575,7,4,57.14285714285714
2024-10-07,1879.3,2024-10-16,1862.05,-17.25,-0.917894960889693,False,2024-10-07,BAJAJFINSV,1423722,93128.0,659762,5.11,27.43,436.79,Very High,Very High,Very High,High,1.37,1.13,1.44,95.14,78.47,16.67,Very High,-5.25,Strong Supply,Low,Medium,Very High,1883.23,1879.3,-2.25,1893.7,0.16,14.400000000000093,-0.52,-0.18,97500.0,-0.17,1884.55,1884.55,1901.6,1868.8,1883.42,12077500.0,2024-10-31,76.02,ShortBuildUp,10.5,22.3,32.8,False,0.0,,Bearish,-0.0027896985293294,-5.25,Strong Supply,1936.996845838613,1881.9083653584937,-7.06,0.47,56.67,-10.87,55.09,65.96,-13.38,Sell,Sell,45.65000000000009,59.03,14.01,22.28,False,34.7,29.12,True,-5.25,14.16878512717613,-74.38612191767469,15.287797440082468,-3.687517647405884e-06,-0.00079875141652,0.39,0.42,False,99,75,24,75.75757575757575,7,4,57.14285714285714
2024-12-12,1679.3,2024-12-13,1679.7,0.40000000000009095,0.023819448579770794,True,2024-12-12,BAJAJFINSV,1137744,75233.0,517291,6.32,29.49,366.61,Very High,Very High,Very High,Low,0.95,0.78,1.01,94.06,77.23,16.83,Very High,-7.2,Strong Supply,Low,Medium,Very High,1681.47,1679.3,-6.5,1682.7,0.0499999999999999,3.400000000000091,-0.62,0.69,-545000.0,0.68,1686.5,1685.0,1690.5,1674.6,1682.35,13495500.0,2024-12-26,75.03,LongUnwinding,4.7,11.2,15.9,True,0.01,CandleHighSwipe,Bearish,-0.004278335600742,-7.2000000000000455,Strong Supply,1621.039347592625,1632.41203278509,7.49,0.95,43.94,19.37,-11.37,-30.74,16.16,Buy,Buy,-13.970000000000027,-30.13,17.34,18.23,False,9.13,11.96,False,-7.2000000000000455,13.944557912298734,-100.40081696855152,15.122938072388449,-6.3283128717884215e-06,-0.0013345316146976,0.75,0.73,True,99,75,24,75.75757575757575,7,4,57.14285714285714
2025-01-07,1682.75,2025-01-08,1697.0,14.25,0.8468281087505571,True,2025-01-07,BAJAJFINSV,1242573,83242.0,610520,1.63,32.97,1922.7,Very High,Very High,Very High,Medium,1.23,0.91,1.21,101.65,75.21,26.44000000000001,Very High,-1.85,Strong Supply,Low,Medium,Very High,1686.87,1682.75,-2.25,1691.3,-0.02,8.549999999999955,-0.54,0.04,-140000.0,0.04,1684.6,1692.0,1703.65,1674.2,1690.06,13273000.0,2025-01-30,71.62,LongUnwinding,8.55,20.9,29.45,True,0.05,CandleLowSwipe,Bearish,-0.0010987869904406,-1.849999999999909,Strong Supply,1658.9756452843378,1649.3721027206452,1.69,0.51,41.67,5.73,9.6,3.87,12.53,Buy,Buy,12.200000000000044,-0.33,16.29,19.96,False,26.52,19.97,True,-1.849999999999909,14.03269478774215,-25.9604853573217,14.92723625093102,-1.4888461281549728e-06,-0.0003118676312116,0.51,0.57,False,99,75,24,75.75757575757575,7,4,57.14285714285714
