Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-01-04,PFIZER,5100.6,5139.9,5170.0,5055.0,5097.33,143500,2022-01-27,42667.0,4855.0,15147.0,,35.5,-0.24,,,88.89,-0.39,5064.7,-36.75,5089.85,25.150000000000546,6750,6750,,ShortBuildUp,9.7,105.3,2.25,,,,,,,9.7,9.7,105.3,105.3,15147.0,15147.0,42667.0,42667.0,143500.0,143500.0,8.79,8.79
2022-01-05,PFIZER,5064.7,5070.0,5135.0,5023.55,5065.07,149750,2022-01-27,28765.0,3572.0,11360.0,-25.0,39.489999999999995,-0.39,28.0,23.0,88.46,-0.43,5063.8,1.0999999999994543,5090.95,27.149999999999636,6250,13000,47.0,LongBuildUp,40.25,106.2,2.2,-0.8999999999996362,-0.00017771634543528592,,,,,25.74,25.28,105.77,105.76,13158.82,13215.63,35368.45,35576.98,146781.25,146687.5,8.4,8.41
2022-01-06,PFIZER,5063.8,5063.8,5084.95,5010.0,5030.39,152625,2022-01-27,21897.0,3170.0,8433.0,-25.77,38.51,-0.5,25.0,34.0,88.22,-0.24,5014.15,-57.30000000000018,5033.65,19.5,2875,15875,34.0,ShortBuildUp,4.15,120.85,1.48,-49.650000000000546,-0.00985327406801062,,,,,17.81,17.95,111.31,110.99,11423.53,11557.24,30421.81,30833.4,148927.04,148746.35,7.85,7.89
2022-01-07,PFIZER,5014.15,5063.3,5063.3,4936.8,4989.73,157625,2022-01-27,31549.0,4545.0,12789.0,51.65,40.54,-0.33,50.0,60.0,87.69,-0.53,4947.55,-66.54999999999927,4967.1,19.550000000000182,5000,20875,62.0,ShortBuildUp,10.75,137.4,2.52,-66.59999999999945,-0.013371410965447694,,,,,15.77,16.04,118.84,118.0,11817.72,11883.89,30747.22,31023.17,151438.01,151100.93,7.59,7.64
2022-01-10,PFIZER,4947.55,4947.0,4999.8,4919.5,4946.07,162875,2022-01-27,26171.0,3531.0,12117.0,-5.25,46.300000000000004,-0.36,35.0,26.0,87.31,-0.38,4928.6,-20.050000000000182,4947.05,18.449999999999818,5250,26125,51.0,ShortBuildUp,9.1,134.7,1.62,-18.949999999999818,-0.0038375324910688846,,,,,14.16,14.54,122.68,121.61,11890.11,11934.32,29640.27,29973.58,154204.52,153647.82,7.55,7.59
2022-01-11,PFIZER,4928.6,4925.85,4967.95,4892.05,4924.49,170625,2022-01-27,23005.0,3806.0,8755.0,-27.75,48.77,-0.49,24.0,44.0,86.9,-0.41,4905.55,-21.050000000000182,4926.0,20.449999999999818,7750,33875,56.0,ShortBuildUp,13.5,94.25,1.54,-23.050000000000182,-0.004687754856369963,,,,,14.02,14.35,116.68,116.58,11228.75,11350.06,28240.53,28692.98,157668.49,156767.69,7.23,7.31
2022-01-12,PFIZER,4905.55,4910.0,4930.6,4864.0,4880.46,178625,2022-01-27,29100.0,4637.0,17102.0,95.34,58.77,-0.16,57.0,50.0,86.26,-0.64,4871.9,-35.80000000000018,4890.2,18.300000000000182,8000,41875,49.0,ShortBuildUp,7.9,96.05,1.36,-33.650000000000546,-0.00688321246489032,,,,,12.86,13.31,112.78,113.28,12339.23,12273.59,28403.03,28758.33,161630.85,160277.08,7.05,7.14
2022-01-13,PFIZER,4871.9,4879.95,4935.0,4854.7,4910.28,181375,2022-01-27,32818.0,4745.0,13871.0,-18.89,42.27,-0.29,30.0,42.0,85.9,-0.36,4926.6,46.150000000000546,4936.35,9.75,2750,44625,30.0,LongBuildUp,71.9,8.4,1.65,54.70000000000073,0.011165090215275342,,,,,23.07,21.7,94.74,98.27,12604.01,12502.31,29166.18,29339.61,165043.72,163297.98,7.03,7.11
2022-01-14,PFIZER,4926.6,4928.0,4945.0,4880.15,4903.67,190750,2022-01-27,17515.0,3616.0,6018.0,-56.61,34.36,-0.59,15.0,25.0,85.39,-0.51,4897.3,-28.95000000000073,4907.4,10.099999999999454,9375,54000,70.0,ShortBuildUp,42.6,47.7,1.32,-29.300000000000182,-0.0059650621197793186,,,,,26.2,24.41,87.19,91.71,11547.58,11661.3,27297.28,27805.96,169167.14,166858.5,6.68,6.81
2022-01-17,PFIZER,4897.3,4890.0,4906.0,4861.0,4874.69,189375,2022-01-27,17920.0,3082.0,7951.0,32.12,44.37,-0.52,46.0,31.0,85.2,-0.19,4875.25,-17.549999999999272,4889.85,14.600000000000364,-1375,52625,21.0,LongUnwinding,14.25,69.75,0.92,-22.050000000000182,-0.0045126476546695216,,,,,24.4,23.2,84.57,89.1,11005.97,11220.0,25885.14,26630.14,172210.26,169536.57,6.55,6.7
