Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-01-04,MINDTREE,4842.05,4869.55,4870.0,4737.05,4772.73,2467400,2022-01-27,574468.0,44836.0,171368.0,,29.830000000000002,-0.27,,,67.78,-1.71,4777.7,-49.44999999999982,4801.45,23.75,44000,44000,,ShortBuildUp,40.65,92.3,2.75,,,,,,,40.65,40.65,92.3,92.3,171368.0,171368.0,574468.0,574468.0,2467400.0,2467400.0,12.81,12.81
2022-01-05,MINDTREE,4777.7,4760.0,4790.0,4640.15,4693.87,2460400,2022-01-27,637999.0,46888.0,206861.0,20.71,32.42,-0.05,154.0,143.0,66.66,-1.12,4688.25,-105.4499999999998,4696.0,7.75,-7000,37000,91.0,LongUnwinding,48.1,181.75,3.14,-89.44999999999982,-0.01889988065717496,,,,,44.56,44.45,139.26,137.92,190001.82,189469.43,607821.78,606868.81,2463725.0,2463830.0,13.23,13.22
2022-01-06,MINDTREE,4688.25,4620.0,4636.75,4571.3,4600.47,2481400,2022-01-27,652846.0,58181.0,276421.0,33.63,42.34000000000001,0.38,164.0,170.0,65.68,-0.98,4611.6,-76.64999999999964,4619.35,7.75,21000,58000,13.0,ShortBuildUp,40.3,178.4,1.4,-76.64999999999964,-0.016484510121232532,,,,,43.0,43.01,153.63,151.96,221734.43,219620.21,624354.4,622811.57,2470215.15,2469922.46,12.49,12.53
2022-01-07,MINDTREE,4611.6,4650.0,4662.55,4592.0,4628.48,2518000,2022-01-27,427054.0,31490.0,125459.0,-54.61,29.38,-0.56,18.0,16.0,64.52,-1.16,4601.05,1.5999999999994543,4620.95,19.899999999999636,36600,94600,181.0,LongBuildUp,29.75,61.5,1.53,-10.550000000000182,-0.002290330059596002,,,,,39.17,39.49,127.04,127.97,193941.2,194649.04,567396.83,570897.46,2484009.9,2482672.43,12.8,12.8
2022-01-10,MINDTREE,4601.05,4660.0,4669.95,4530.0,4567.05,2634800,2022-01-27,548383.0,47890.0,231689.0,84.67,42.25,0.1,189.0,194.0,61.7,-2.82,4556.25,-44.44999999999982,4576.5,20.25,116800,211400,199.0,ShortBuildUp,26.25,113.7,3.04,-44.80000000000018,-0.009784621542234362,,,,,36.05,36.63,123.81,124.88,203072.07,202661.28,562797.54,566027.28,2520484.74,2515579.66,12.47,12.51
2022-01-11,MINDTREE,4556.25,4579.7,4619.25,4539.0,4588.77,2694000,2022-01-27,463903.0,39208.0,172380.0,-25.6,41.86,-0.27,66.0,62.0,60.24,-1.46,4583.55,25.550000000000185,4602.05,18.5,59200,270600,133.0,LongBuildUp,53.55,86.4,1.76,27.300000000000182,0.005973890279591387,,,,,39.74,39.74,115.92,117.81,196597.45,197096.54,541935.31,547260.07,2557088.54,2548367.68,12.34,12.38
2022-01-12,MINDTREE,4583.55,4625.0,4647.95,4567.0,4606.49,2692000,2022-01-27,358478.0,38347.0,124967.0,-27.5,34.86,-0.56,62.0,106.0,59.77,-0.47,4635.95,50.94999999999982,4653.0,17.050000000000182,-2000,268600,100.0,ShortCovering,96.95,12.0,1.77,52.399999999999636,0.011367333205301478,,,,,50.56,48.92,96.27,100.82,183053.9,185515.48,507248.07,516949.38,2582596.95,2571429.16,11.77,11.9
2022-01-13,MINDTREE,4635.95,4650.0,4760.0,4581.0,4689.1,2732200,2022-01-27,1105341.0,77352.0,210583.0,68.51,19.05,-0.03,179.0,212.0,50.03,-9.74,4744.1,112.6999999999998,4765.7,21.599999999999454,40200,308800,2.0,LongBuildUp,177.1,15.9,3.86,108.15000000000055,0.023060600471545456,,,,,72.43,67.28,82.38,88.66,187812.45,189104.76,610631.44,601198.02,2608456.59,2594449.08,12.21,12.24
2022-01-14,MINDTREE,4744.1,4630.0,4675.0,4477.35,4535.38,2913200,2022-01-27,2519236.0,191391.0,520042.0,146.95,20.64,1.91,208.0,218.0,39.32,-10.71,4547.95,-201.6499999999996,4564.05,16.100000000000364,181000,489800,208.0,ShortBuildUp,70.6,212.05,4.17,-196.15000000000055,-0.04222515874686117,,,,,72.14,67.71,103.18,104.67,241103.69,232027.28,916780.95,849967.3,2657338.93,2635791.03,12.36,12.36
2022-01-17,MINDTREE,4547.95,4550.0,4564.05,4485.0,4522.31,2887400,2022-01-27,808196.0,57093.0,259180.0,-50.16,32.07,0.28,25.0,3.0,37.42,-1.9,4511.9,-33.100000000000364,4530.95,19.050000000000182,-25800,464000,93.0,LongUnwinding,34.55,163.1,1.74,-36.05000000000018,-0.007958231154823636,,,,,66.48,63.76,112.2,111.62,243825.83,235256.77,900428.99,844999.11,2691984.13,2665716.87,12.63,12.57
