Stock,Date,EntryPrice,MaxReturnIn10D,DaysToTarget,Success
ABBOTINDIA,2018-09-07,8424.0,0.3021130104463524,,False
ABBOTINDIA,2019-04-12,7428.0,8.111200861604738,1.0,True
ABBOTINDIA,2020-03-17,14954.95,3.31763061728725,9.0,True
ABBOTINDIA,2021-01-27,14550.0,0.5828178694158026,,False
ABBOTINDIA,2021-02-02,14199.85,2.0306552534005666,1.0,True
ABBOTINDIA,2022-01-28,16199.0,2.92240261744553,7.0,True
ABBOTINDIA,2022-02-14,16200.0,4.890123456790128,1.0,True
ABBOTINDIA,2024-01-16,25600.0,1.1990234375000028,,False
ABCAPITAL,2019-04-01,104.5,-2.2966507177033546,,False
ABCAPITAL,2020-07-02,67.85,-2.210759027266028,,False
ABCAPITAL,2021-02-25,117.5,10.382978723404246,1.0,True
ABCAPITAL,2024-02-02,182.0,3.076923076923074,2.0,True
ABCAPITAL,2024-04-16,205.95,5.292546734644334,3.0,True
ABCAPITAL,2024-05-07,220.0,2.5681818181818206,7.0,True
ABCAPITAL,2024-06-05,217.4,6.6697332106715725,1.0,True
ABCAPITAL,2024-06-10,232.95,2.6314659798240068,2.0,True
ABFRL,2018-08-06,180.9,6.854615809839693,5.0,True
ABFRL,2018-08-09,182.0,6.208791208791215,2.0,True
ABFRL,2021-02-09,167.85,6.791778373547814,10.0,True
ABFRL,2021-03-05,218.0,0.2981651376146815,,False
ABFRL,2024-04-26,271.0,-2.638376383763829,,False
ABFRL,2024-05-24,291.0,2.852233676975949,2.0,True
ABFRL,2024-09-13,329.1,2.2637496201762346,3.0,True
ACC,2017-10-05,1704.95,2.1173641455761114,4.0,True
ACC,2018-06-06,1326.8,0.31278263491107106,,False
ACC,2019-04-25,1628.0,0.362407862407868,,False
ACC,2019-05-03,1617.25,2.825784510743549,10.0,True
ACC,2020-02-04,1496.5,0.41430003341129606,,False
ACC,2020-04-23,1182.0,0.021150592216582064,,False
ACC,2020-05-26,1287.0,0.8041958041957972,,False
ACC,2020-05-28,1268.0,2.3146687697160813,5.0,True
ACC,2020-11-02,1672.4,1.6144463047117914,,False
ACC,2020-11-27,1738.0,-0.503452243958573,,False
ACC,2021-01-12,1795.15,-0.5375595354148729,,False
ACC,2021-01-22,1724.55,2.220869212258268,5.0,True
ADANIENT,2019-05-21,155.05,3.8697194453402126,1.0,True
ADANIENT,2019-05-23,162.35,-2.03264551894055,,False
ADANIENT,2023-02-03,1575.0,14.473015873015875,1.0,True
ADANIENT,2023-06-28,2437.95,-0.6173219303102906,,False
ADANIENT,2023-09-01,2454.0,2.26161369193154,3.0,True
ADANIENT,2024-06-07,3267.0,1.287113559840838,,False
ADANIPORTS,2015-08-27,360.5,-1.4008321775312098,,False
ADANIPORTS,2016-06-01,203.45,2.5313344802162723,8.0,True
ADANIPORTS,2016-06-03,201.0,2.736318407960199,1.0,True
ADANIPORTS,2018-12-26,379.25,2.148978246539216,1.0,True
ALKEM,2020-08-07,3033.85,-3.5829062082831986,,False
ALKEM,2023-11-10,4330.0,2.735565819861428,4.0,True
ALKEM,2024-06-18,5232.0,-1.4076834862385252,,False
ALKEM,2024-07-10,5265.0,2.2545109211775842,2.0,True
AMBUJACEM,2020-10-30,260.0,1.6923076923076836,,False
AMBUJACEM,2022-08-24,404.15,2.8331065198565004,5.0,True
AMBUJACEM,2022-08-26,397.0,3.5894206549118386,1.0,True
AMBUJACEM,2022-09-06,440.05,4.965344847176449,1.0,True
AMBUJACEM,2023-01-27,400.0,0.29999999999999716,,False
AMBUJACEM,2023-12-14,523.7,2.0240595760931654,10.0,True
AMBUJACEM,2024-06-12,678.7,-0.221010755856785,,False
APOLLOHOSP,2017-12-07,1182.0,2.106598984771581,4.0,True
APOLLOHOSP,2018-11-26,1255.0,2.9641434262948243,4.0,True
APOLLOHOSP,2019-03-06,1195.35,0.7278203036767512,,False
APOLLOHOSP,2019-03-12,1160.0,1.978448275862073,,False
APOLLOHOSP,2019-12-27,1421.2,5.168167745567129,3.0,True
APOLLOHOSP,2020-09-29,2104.0,3.284220532319387,4.0,True
APOLLOHOSP,2021-11-26,5770.0,-1.425476603119584,,False
APOLLOTYRE,2015-02-24,178.0,1.067415730337082,,False
APOLLOTYRE,2019-06-24,198.4,2.2681451612903225,2.0,True
APOLLOTYRE,2020-08-14,131.6,2.9635258358662657,8.0,True
APOLLOTYRE,2020-09-25,121.5,7.160493827160485,1.0,True
APOLLOTYRE,2021-03-22,225.4,4.724933451641528,6.0,True
APOLLOTYRE,2021-09-27,233.05,3.2181935207037116,9.0,True
ASHOKLEY,2020-04-08,45.0,2.333333333333327,1.0,True
ASHOKLEY,2020-06-12,52.35,3.8204393505253105,4.0,True
ASHOKLEY,2020-07-06,52.0,0.8653846153846209,,False
ASHOKLEY,2020-08-13,62.0,10.483870967741936,2.0,True
ASHOKLEY,2020-09-25,77.1,-0.648508430609598,,False
ASHOKLEY,2021-08-03,141.95,-5.353997886579778,,False
ASHOKLEY,2022-03-09,112.0,3.125,4.0,True
ASHOKLEY,2023-12-14,176.5,2.861189801699723,9.0,True
ASIANPAINT,2015-01-22,870.8,2.2622875516766245,1.0,True
ASIANPAINT,2018-11-01,1242.0,4.315619967793873,4.0,True
ASIANPAINT,2019-12-02,1740.0,0.6120689655172467,,False
ASIANPAINT,2020-03-12,1785.0,-2.355742296918765,,False
ASIANPAINT,2020-03-18,1540.0,13.17857142857143,1.0,True
ASIANPAINT,2020-05-22,1625.0,3.5753846153846096,3.0,True
ASIANPAINT,2020-07-07,1750.0,0.09142857142856624,,False
ASIANPAINT,2020-11-27,2275.0,5.995604395604399,2.0,True
ASIANPAINT,2021-02-18,2470.9,-2.177344287506584,,False
